1,1,6
1,2,2
1,3,8
1,4,0
1,5,6
1,6,7
1,7,3
1,8,0
1,9,0
1,10,5
1,11,8
1,12,3
1,13,0
1,14,8
1,15,5
1,16,5
1,17,6
1,18,2
1,19,6
1,20,8
1,21,6
1,22,0
1,23,4
1,24,7
1,25,9
1,26,7
1,27,8
1,28,3
1,29,3
1,30,9
1,31,7
1,32,7
1,33,3
1,34,0
1,35,3
1,36,2
1,37,2
1,38,1
1,39,4
1,40,3
1,41,7
1,42,0
1,43,4
1,44,6
1,45,1
1,46,1
1,47,0
1,48,3
1,49,6
1,50,0
1,51,4
1,52,0
1,53,9
1,54,4
1,55,6
1,56,0
1,57,4
1,58,0
1,59,9
1,60,3
1,61,5
1,62,2
1,63,5
1,64,0
1,65,0
1,66,9
1,67,9
1,68,9
1,69,0
1,70,5
1,71,9
1,72,6
1,73,9
1,74,6
1,75,9
1,76,9
1,77,4
1,78,8
1,79,8
1,80,0
1,81,0
1,82,6
1,83,2
1,84,9
1,85,3
1,86,2
1,87,0
1,88,5
1,89,2
1,90,9
1,91,8
1,92,9
1,93,0
1,94,6
1,95,5
1,96,6
1,97,2
1,98,1
1,99,6
1,100,6
1,101,7
1,102,7
1,103,0
1,104,5
1,105,8
1,106,2
1,107,9
1,108,3
1,109,2
1,110,8
1,111,2
1,112,4
1,113,0
1,114,9
1,115,8
1,116,6
1,117,0
1,118,9
1,119,6
1,120,3
1,121,6
1,122,8
1,123,4
1,124,4
1,125,4
1,126,8
1,127,2
1,128,7
1,129,9
1,130,4
1,131,4
1,132,1
1,133,1
1,134,8
1,135,5
1,136,1
1,137,0
1,138,9
1,139,0
1,140,1
1,141,2
1,142,4
1,143,7
1,144,8
1,145,6
1,146,7
1,147,0
1,148,4
1,149,9
1,150,8
1,151,6
1,152,3
1,153,6
1,154,1
1,155,7
1,156,9
1,157,6
1,158,1
1,159,6
1,160,5
1,161,9
1,162,2
1,163,6
1,164,3
1,165,8
1,166,9
1,167,8
1,168,6
1,169,3
1,170,8
1,171,4
1,172,3
1,173,9
1,174,3
1,175,0
1,176,7
1,177,6
1,178,0
1,179,2
1,180,9
1,181,7
1,182,7
1,183,8
1,184,2
1,185,1
1,186,6
1,187,2
1,188,4
1,189,9
1,190,0
1,191,4
1,192,5
1,193,2
1,194,7
1,195,5
1,196,9
1,197,0
1,198,5
1,199,7
1,200,8
1,201,4
1,202,3
1,203,6
1,204,1
1,205,2
1,206,8
1,207,3
1,208,5
1,209,1
1,210,6
1,211,0
1,212,2
1,213,8
1,214,0
1,215,5
1,216,1
1,217,2
1,218,3
1,219,4
1,220,4
1,221,6
1,222,9
1,223,0
1,224,5
1,225,3
1,226,3
1,227,9
1,228,8
1,229,4
1,230,7
1,231,1
1,232,0
1,233,5
1,234,4
1,235,8
1,236,9
1,237,1
1,238,3
1,239,5
1,240,4
1,241,5
1,242,4
1,243,8
1,244,0
1,245,1
1,246,6
1,247,1
1,248,4
1,249,3
1,250,4
1,251,0
1,252,4
1,253,1
1,254,7
1,255,6
1,256,7
1,257,9
1,258,9
1,259,0
1,260,3
1,261,8
1,262,7
1,263,5
1,264,6
1,265,7
1,266,1
1,267,6
1,268,2
1,269,6
1,270,9
1,271,3
1,272,5
1,273,4
1,274,5
1,275,0
1,276,4
1,277,1
1,278,8
1,279,1
1,280,5
1,281,4
1,282,0
1,283,3
1,284,1
1,285,8
1,286,2
1,287,9
1,288,1
1,289,4
1,290,3
1,291,4
1,292,7
1,293,9
1,294,7
1,295,0
1,296,8
1,297,4
1,298,0
1,299,2
1,300,8
1,301,2
1,302,9
1,303,4
1,304,1
1,305,7
1,306,5
1,307,1
1,308,6
1,309,6
1,310,4
1,311,8
1,312,8
1,313,5
1,314,4
1,315,3
1,316,8
1,317,0
1,318,3
1,319,2
1,320,8
1,321,7
1,322,9
1,323,9
1,324,8
1,325,5
1,326,8
1,327,5
1,328,5
1,329,6
1,330,6
1,331,3
1,332,3
1,333,7
1,334,6
1,335,9
1,336,0
1,337,2
1,338,4
1,339,0
1,340,1
1,341,3
1,342,6
1,343,4
1,344,0
1,345,6
1,346,7
1,347,0
1,348,4
1,349,9
1,350,1
1,351,2
1,352,4
1,353,2
1,354,1
1,355,9
1,356,8
1,357,7
1,358,6
1,359,2
1,360,8
1,361,6
1,362,6
1,363,8
1,364,2
1,365,0
1,366,2
1,367,0
1,368,5
1,369,3
1,370,9
1,371,2
1,372,3
1,373,8
1,374,3
1,375,3
1,376,4
1,377,1
1,378,4
1,379,5
1,380,0
1,381,8
1,382,3
1,383,3
1,384,8
1,385,5
1,386,5
1,387,3
